# Detection Codes

_116 codes across 13 categories. Generated from the catalog; do not edit by hand._

## CRITICAL severity

| Code | Name | Category | Detector | CWE |
|------|------|----------|----------|-----|
| `ATOMIC-001` | Atomic Arch malicious npm/bun package | Malicious Code | rules | CWE-506 |
| `ATOMIC-002` | Node/Bun package manager in install hook | Malicious Code | rules | CWE-494 |
| `ATOMIC-003` | eBPF rootkit / payload artifact | Persistence | rules | CWE-506 |
| `BROWSER-001` | Browser profile access | Credential Theft | rules | CWE-522 |
| `BROWSER-002` | Browser database access | Credential Theft | rules | CWE-522 |
| `CRED-001` | SSH key access | Credential Theft | rules | CWE-522 |
| `CRED-002` | GPG key access | Credential Theft | rules | CWE-522 |
| `CRED-003` | Password file access | Credential Theft | rules | CWE-522 |
| `CRED-005` | Keyring / wallet access | Credential Theft | rules | CWE-522 |
| `CRYPTO-001` | Mining pool connection | Cryptomining | rules | CWE-506 |
| `CRYPTO-002` | Cryptominer binary | Cryptomining | rules | CWE-506 |
| `CRYPTO-003` | Monero/Bitcoin wallet address | Cryptomining | rules | CWE-506 |
| `DEEP-001` | Decode-and-execute flow | Obfuscation | deep | CWE-506 |
| `DLE-001` | Curl pipe to shell | Command Injection | rules | CWE-94 |
| `DLE-002` | Wget pipe to shell | Command Injection | rules | CWE-94 |
| `DLE-003` | Curl output executed | Command Injection | rules | CWE-94 |
| `ENV-001` | LD_PRELOAD manipulation | Malicious Code | rules | CWE-426 |
| `ENV-003` | Bashrc/profile modification | Persistence | rules | CWE-506 |
| `EXEC-002` | Shell -c command substitution fetch | Malicious Code | rules | CWE-494 |
| `EXEC-REMOTE` | Fetches and runs external code | Malicious Code | remote_exec | CWE-494 |
| `EXFIL-001` | Curl POST data exfiltration | Data Exfiltration | rules | CWE-200 |
| `EXFIL-002` | Netcat data transfer | Data Exfiltration | rules | CWE-200 |
| `EXFIL-003` | Discord/Telegram webhook | Data Exfiltration | rules | CWE-506 |
| `EXFIL-004` | DNS exfiltration | Data Exfiltration | rules | CWE-200 |
| `EXFIL-008` | Slack/Teams webhook exfiltration | Data Exfiltration | rules | CWE-200 |
| `INSTALL-001` | Python execution in install script | Malicious Code | rules | CWE-94 |
| `INSTALL-003` | Network access in install script | Network Security | rules | CWE-494 |
| `INSTALL-004` | Language package manager invoked in install hook | Malicious Code | rules | CWE-494 |
| `IOC-001` | Known indicator-of-compromise match | Malicious Code | ioc | CWE-506 |
| `PASTE-001` | Pastebin download | Malicious Code | rules | CWE-506 |
